division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
775,Andreas,Johansson,,SWE,Standard,4.04,24.82,24.69,-49.26,4,8.85
776,Ola,Albinsson,,SWE,Standard,4.04,24.38,24.18,-48.14,5,8.84
777,Rahel,Azad,azad,SWE,Standard,4.03,22.98,22.52,-44.58,7,8.82
778,Fredrik,W. Lindvall,,SWE,Standard,4.02,24.06,23.8,-47.35,4,8.81
779,Johan,G,johang,SWE,Standard,4.02,26.14,26.28,-52.7,2,8.81
780,Simon,Dahlberg,individual,SWE,Standard,4.02,24.87,24.78,-49.47,3,8.79
781,Daniel,Stenbäck,dst,SWE,Standard,4.02,25.39,25.4,-50.81,3,8.79
782,Magnus,Fredriksson,,SWE,Standard,4.01,24.58,24.45,-48.75,3,8.78
783,Stefan,Svahn,swessv,SWE,Standard,3.99,20.38,19.47,-38.02,9,8.75
784,Glenn,Bernsson,glenco,SWE,Standard,3.99,23.2,22.82,-45.27,6,8.74
785,Anders,Forthmeiier,,SWE,Standard,3.99,25.32,25.35,-50.73,3,8.73
786,Hans,Lindberg,utgard,SWE,Standard,3.98,23.65,23.37,-46.46,5,8.72
787,Daniel,Karlsson,,SWE,Standard,3.94,22.71,22.3,-44.19,6,8.64
788,Filip,Jakobsson,,SWE,Standard,3.94,24.22,24.1,-48.07,4,8.62
789,Kent,Rehn,donkfromsweden,SWE,Standard,3.93,23.81,23.62,-47.05,5,8.61
790,Michael,Lindström,,SWE,Standard,3.93,26.24,26.51,-53.28,2,8.61
791,Göran,Bager,,SWE,Standard,3.93,23.37,23.1,-45.93,3,8.6
792,Richard,Hedmark,,SWE,Standard,3.92,22.57,22.16,-43.92,5,8.58
793,Ola,Dahlbäck,valleybrook,SWE,Standard,3.92,23.54,23.32,-46.42,5,8.57
794,Marcus,Fritzon,,SWE,Standard,3.9,25.35,25.48,-51.1,2,8.54
795,Daniel,Holmberg,rioter,SWE,Standard,3.89,24.97,25.05,-50.17,6,8.51
796,Peter,Henriksson,svix,SWE,Standard,3.89,22.84,22.52,-44.72,7,8.51
