division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
258,Tomas,Hedström,mrhedan,SWE,Classic,-0.7,24.79,30.29,-66.09,1,-2.38
259,pasi,pirttikoski,trooper,SWE,Classic,-0.82,24.4,29.96,-65.48,4,-2.76
260,Christofer,Hellgren,,SWE,Classic,-0.85,25.44,31.23,-68.26,2,-2.87
261,Freddie,Thörn,boxen,SWE,Classic,-1.06,24.61,30.5,-66.9,1,-3.58
262,Jacob,Damm,,SWE,Classic,-1.12,23.32,29.04,-63.8,1,-3.79
263,Gert,Hellström,olex,SWE,Classic,-1.15,23.2,28.94,-63.62,2,-3.9
264,Daniel,Dywling,,SWE,Classic,-1.34,20.74,26.23,-57.96,4,-4.52
265,Allan,Bjorlin,,SWE,Classic,-1.51,25.28,31.84,-70.23,1,-5.12
266,Fredrik,Andersson,,SWE,Classic,-1.56,21.03,26.84,-59.49,2,-5.27
267,Alexander,Klanfar,lexen,SWE,Classic,-1.6,19.24,24.77,-55.06,4,-5.41
268,Mattias,Fjällborg,rabadax,SWE,Classic,-1.66,18.54,24.01,-53.47,7,-5.61
269,Niclas,Thulin,xander,SWE,Classic,-2.04,24.62,31.69,-70.44,1,-6.91
270,Matheos,Parasidis,macki,SWE,Classic,-2.09,24.7,31.84,-70.82,3,-7.08
271,Mattias,Lind,,SWE,Classic,-2.37,24.58,32.02,-71.47,1,-8.0
272,Johan,Broman,,SWE,Classic,-2.37,24.25,31.63,-70.64,2,-8.02
273,Per,Rosendahl,rosen,SWE,Classic,-2.39,25.18,32.76,-73.11,2,-8.08
274,Anders,R. (#1386),doctorglock,SWE,Classic,-2.4,22.41,29.48,-66.03,1,-8.11
275,Max,Andersson,maxan,SWE,Classic,-2.45,24.28,31.76,-71.0,2,-8.28
276,Bengt-Ole,Hamilton,freixenet,SWE,Classic,-2.54,25.04,32.77,-73.26,1,-8.59
277,Per,Dalén,pdn,SWE,Classic,-2.59,16.84,23.08,-52.4,5,-8.75
278,Jon,Johansson,ninpo,SWE,Classic,-2.97,24.72,32.9,-73.99,1,-10.06
279,Christian,Luckmann,elespecia,SWE,Classic,-3.05,24.88,33.18,-74.67,1,-10.31
280,Carl,Fogelfors,,SWE,Classic,-3.16,15.85,22.59,-51.91,5,-10.69
281,Torbjörn,Berg,silverbullit,SWE,Classic,-3.18,24.97,33.45,-75.37,1,-10.74
282,Alexander,Rydholm,rydholm33,SWE,Classic,-3.33,24.71,33.32,-75.24,1,-11.28
283,Andreas,Lindahl,lindahl,SWE,Classic,-3.38,24.67,33.33,-75.32,1,-11.44
284,Rickard,johansson,,SWE,Classic,-3.48,24.95,33.78,-76.38,1,-11.77
285,Anders,Rohlén,,SWE,Classic,-3.49,24.14,32.83,-74.35,3,-11.82
286,Jennifer,Gustafsson,,SWE,Classic,-3.52,17.89,25.44,-58.42,4,-11.9
287,Tariq,Mahmud,check75pk,SWE,Classic,-3.69,15.26,22.52,-52.3,6,-12.48
288,Wilma,Andersson,wilmis,SWE,Classic,-3.78,16.18,23.72,-54.97,5,-12.78
289,Oscar,Krook,platemate,SWE,Classic,-3.83,24.42,33.57,-76.29,2,-12.95
290,Orjan,Magnusson,,SWE,Classic,-3.97,20.72,29.34,-67.29,5,-13.43
291,Mikael,Jansson,mister45,SWE,Classic,-4.05,25.0,34.52,-78.55,1,-13.7
292,Mattias,Falk,,SWE,Classic,-4.18,24.75,34.37,-78.35,1,-14.12
293,Per-Anders,Örnehult,,SWE,Classic,-4.26,25.0,34.77,-79.31,1,-14.41
294,Frank,Räms Sundén,fralle,SWE,Classic,-4.36,14.88,22.85,-53.68,5,-14.73
