division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
4145,Anders,Strömberg,anderss,SWE,Production,-4.28,24.97,34.76,-79.3,1,-7.25
4146,Börre,Böresen,,SWE,Production,-4.31,25.06,34.89,-79.62,1,-7.29
4147,Krister,Vauhkonen,,SWE,Production,-4.31,25.06,34.89,-79.62,1,-7.29
4148,Simon,Sapranidis,simonsays,SWE,Production,-4.32,17.27,25.65,-59.68,6,-7.31
4149,Peter,Farkas,,SWE,Production,-4.32,24.75,34.54,-78.87,1,-7.31
4150,Thomas,Jemt,thomas,SWE,Production,-4.33,20.39,29.37,-67.72,2,-7.33
4151,Sakarias,Hanning,,SWE,Production,-4.34,25.02,34.88,-79.63,1,-7.34
4152,Pia,Scheffel,,SWE,Production,-4.34,17.03,25.39,-59.15,4,-7.35
4153,Matts,Lindberg,,SWE,Production,-4.34,24.67,34.47,-78.73,1,-7.35
4154,Christoffer,Åström,,SWE,Production,-4.34,24.67,34.47,-78.73,1,-7.35
4155,Kenny,Stenberg,kenny,SWE,Production,-4.35,18.62,27.29,-63.24,2,-7.36
4156,Tommy,Hellberg,varjen,SWE,Production,-4.36,25.02,34.91,-79.71,1,-7.38
4157,Johan,Ligardh,,SWE,Production,-4.37,25.0,34.9,-79.7,1,-7.41
4158,Michael,Rosenberg,,SWE,Production,-4.38,15.29,23.37,-54.82,5,-7.41
4159,Anna-Karin,Wahlgren,,SWE,Production,-4.38,19.07,27.86,-64.51,2,-7.41
4160,Patrick,Andersson,,SWE,Production,-4.39,24.94,34.84,-79.59,1,-7.43
4161,Christian,Målmark,christianm,SWE,Production,-4.39,25.0,34.92,-79.76,1,-7.43
4162,Antero,Raitosalo,antrai,SWE,Production,-4.39,25.0,34.92,-79.76,1,-7.43
4163,Thobias,Sjöberg,,SWE,Production,-4.39,24.96,34.88,-79.68,1,-7.44
4164,Michael,Hansson,mihx,SWE,Production,-4.4,18.98,27.77,-64.34,3,-7.45
4165,Diana,Bergefall,,SWE,Production,-4.41,9.05,15.99,-38.93,20,-7.47
4166,Erik,Molarin,,SWE,Production,-4.42,24.81,34.73,-79.39,1,-7.49
4167,Pär,Halldén,hallden,SWE,Production,-4.44,15.55,23.75,-55.69,5,-7.51
4168,Fredrik,Sällström,nisse,SWE,Production,-4.44,24.65,34.56,-79.04,1,-7.51
4169,Angelica,Lindström,angel,SWE,Production,-4.44,24.93,34.89,-79.75,1,-7.51
4170,Pierre,Osbeck,,SWE,Production,-4.44,21.91,31.31,-72.01,1,-7.51
4171,Axel,Torvenius,,SWE,Production,-4.45,20.87,30.08,-69.37,2,-7.53
4172,Jimmy,Lindroos,,SWE,Production,-4.45,20.11,29.19,-67.44,1,-7.53
4173,Patrik,Nordbeck,75nor,SWE,Production,-4.45,22.47,31.99,-73.5,3,-7.54
4174,David,Härdne,,SWE,Production,-4.46,24.82,34.8,-79.56,1,-7.55
4175,kurt,petersen,,SWE,Production,-4.48,24.32,34.22,-78.34,3,-7.58
4176,Dijon,Perera,,SWE,Production,-4.49,18.51,27.33,-63.48,2,-7.6
4177,Jimmy,Lövenius,,SWE,Production,-4.5,24.44,34.38,-78.71,1,-7.62
4178,Johannes,Bartsch,firehand,SWE,Production,-4.51,20.53,29.74,-68.7,1,-7.63
4179,Kjell,Belke,,SWE,Production,-4.51,18.9,27.81,-64.54,2,-7.63
4180,Alexander,Faili,,SWE,Production,-4.52,24.9,34.95,-79.95,1,-7.64
4181,Nicklas,Persson,,SWE,Production,-4.53,24.33,34.29,-78.54,1,-7.67
4182,Hans,Ingmansson,rattlesnakejim,SWE,Production,-4.54,17.14,25.76,-60.13,8,-7.69
4183,Tomas,Schönfeldt,caballarius,SWE,Production,-4.55,24.53,34.55,-79.11,1,-7.7
4184,Daniel,Lindgren,ocean,SWE,Production,-4.55,24.75,34.81,-79.68,1,-7.7
4185,Per-Anders,Pålsson,,SWE,Production,-4.57,24.36,34.37,-78.75,1,-7.73
4186,Hans,Johansson,boerboel,SWE,Production,-4.59,19.39,28.49,-66.07,1,-7.76
4187,Jerry,Danielson,,SWE,Production,-4.6,23.42,33.3,-76.48,1,-7.79
4188,Toni,Gustafsson,,SWE,Production,-4.63,20.9,30.33,-70.09,1,-7.83
4189,Simon,Wilander,,SWE,Production,-4.63,24.47,34.57,-79.25,1,-7.84
4190,Patrik,Henriksson,paddeh,SWE,Production,-4.63,14.7,22.97,-54.21,6,-7.84
4191,Mikael,Olmås,,SWE,Production,-4.64,21.21,30.72,-70.95,3,-7.86
4192,Otto,Fransson,fransson44,SWE,Production,-4.68,24.13,34.24,-78.59,1,-7.93
4193,Jonas,Rende,jore,SWE,Production,-4.69,15.94,24.5,-57.58,4,-7.93
4194,Thomas,Åkesson,thomas50,SWE,Production,-4.72,17.95,26.94,-62.86,3,-7.99
4195,Johan,Pihel,,SWE,Production,-4.77,20.19,29.65,-68.77,1,-8.08
4196,Jan-Erik,Gustafsson,,SWE,Production,-4.78,18.84,28.07,-65.36,1,-8.09
