division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
461,Fabian,Landgren,,SWE,Open,3.11,23.86,24.66,-50.11,4,3.6
462,Simon,Sapranidis,simonsays,SWE,Open,3.11,20.49,20.66,-41.49,8,3.59
463,Niklas,Sjöberg,xact,SWE,Open,3.1,25.17,26.23,-53.51,2,3.58
464,Mika,Honkavuo,citizenx,SWE,Open,3.08,23.69,24.49,-49.78,4,3.57
465,Teodoros,Chatzissavidis,satan,SWE,Open,3.08,24.98,26.03,-53.09,8,3.56
466,Jimmy,With,with,SWE,Open,3.05,25.97,27.23,-55.72,1,3.53
467,Jonas,Jonsson,,SWE,Open,3.04,22.76,23.43,-47.55,4,3.51
468,Tommy,G,soe,SWE,Open,3.01,24.95,26.07,-53.26,2,3.48
469,Daniel,Ramnefors,,SWE,Open,2.99,23.82,24.75,-50.42,3,3.46
470,Mats,Belin,donmatso,SWE,Open,2.99,25.31,26.53,-54.27,2,3.46
471,Johan,Bogg,docj,SWE,Open,2.96,23.66,24.59,-50.12,3,3.43
472,Vilhelm,Haström,mirage,SWE,Open,2.96,25.48,26.76,-54.81,2,3.42
473,Thomas,Sjunnesson,werops,SWE,Open,2.96,23.82,24.79,-50.55,4,3.42
474,Don Plomo,Helin,donplomo,SWE,Open,2.93,22.03,22.69,-46.04,6,3.39
475,Olle,Lindskog,olle,SWE,Open,2.93,24.13,25.18,-51.42,3,3.39
476,Patrik,Gustavsson,,SWE,Open,2.9,24.92,26.16,-53.57,5,3.35
477,Jimmy,Svensson,,SWE,Open,2.89,27.15,28.83,-59.33,2,3.34
478,Ola,S,,SWE,Open,2.87,24.9,26.17,-53.61,2,3.32
479,Alexander,Corax,grimner,SWE,Open,2.87,25.3,26.65,-54.65,2,3.32
480,Kim,Karlsson,,SWE,Open,2.86,25.7,27.14,-55.71,1,3.31
481,William,Gjerulf,,SWE,Open,2.86,26.28,27.83,-57.21,3,3.31
482,Joakim,Svensson,gadgeten,SWE,Open,2.86,24.79,26.07,-53.4,2,3.3
483,Oscar,Krook,platemate,SWE,Open,2.85,24.98,26.3,-53.91,2,3.29
484,Ola,Nilsson,xa180,SWE,Open,2.85,22.16,22.95,-46.69,10,3.29
485,Andreas,Wredendal,,SWE,Open,2.83,26.08,27.63,-56.8,1,3.27
486,Marcus,Magnil,mrzphinx,SWE,Open,2.83,25.64,27.1,-55.67,1,3.27
487,Björn,Rickan,brickan,SWE,Open,2.83,24.66,25.95,-53.18,2,3.27
488,Johan,Fälth,,SWE,Open,2.82,25.65,27.13,-55.75,1,3.26
489,Patrik,Andersson,pat,SWE,Open,2.77,21.56,22.32,-45.41,6,3.21
490,Fredrik,Fälth,frefa,SWE,Open,2.76,24.26,25.54,-52.37,2,3.2
491,Björn,Elfvin,bjoelf,SWE,Open,2.72,24.13,25.44,-52.19,2,3.15
492,Andreas,Granberg,roadrunner,SWE,Open,2.72,25.26,26.78,-55.07,3,3.15
493,Kristian,Säkki,sakki,SWE,Open,2.72,25.48,27.05,-55.67,2,3.14
494,Jonas,Bengtsson,,SWE,Open,2.7,25.52,27.11,-55.83,1,3.12
495,Mikael,Karlsson,femte,SWE,Open,2.68,24.17,25.54,-52.44,4,3.1
496,Henrik,Ryhle,stankyhank,SWE,Open,2.67,24.12,25.49,-52.34,2,3.09
497,Freddan,Lif,freddan,SWE,Open,2.66,22.3,23.33,-47.7,4,3.08
498,Patrik,Gren,,SWE,Open,2.64,26.7,28.58,-59.05,8,3.06
499,Pierre,Pilstål,,SWE,Open,2.63,25.27,26.91,-55.45,2,3.04
500,Mikael,Jansson,mister45,SWE,Open,2.62,24.71,26.25,-54.03,2,3.03
501,Björn,Ferm,,SWE,Open,2.61,24.81,26.37,-54.31,1,3.02
502,Daniel,Hansson,,SWE,Open,2.59,26.15,27.98,-57.8,1,3.0
503,Joel,Salmonsson,,SWE,Open,2.58,24.76,26.35,-54.29,2,2.99
504,Daniel,Olsson,danielolsson,SWE,Open,2.58,16.79,16.88,-33.86,12,2.98
505,Niclas,Seydlitz,bossebus,SWE,Open,2.58,24.56,26.13,-53.81,2,2.98
506,Amel,Osmanovic,amelo,SWE,Open,2.57,25.34,27.06,-55.83,1,2.97
507,Hans,Lindberg,utgard,SWE,Open,2.57,24.62,26.2,-53.97,2,2.97
508,Martin,Iversen,gbgrape,SWE,Open,2.56,25.86,27.68,-57.18,1,2.96
509,Petter,Kjellsson,petterk,SWE,Open,2.54,25.05,26.74,-55.19,2,2.94
510,Christofer,Mo,molle,SWE,Open,2.52,25.16,26.89,-55.53,1,2.92
511,Filip,Muzinic,dykarfilip,SWE,Open,2.51,23.66,25.14,-51.74,3,2.9
512,Mathias,Adolfsson,mathiasa,SWE,Open,2.5,26.48,28.49,-58.99,1,2.89
513,Christian,Luckmann,elespecia,SWE,Open,2.48,24.16,25.76,-53.12,5,2.87
514,Fredrik,Sik,,SWE,Open,2.48,22.31,23.56,-48.38,5,2.87
515,Jonas,Reimers,jr1,SWE,Open,2.47,24.6,26.3,-54.29,2,2.86
516,Sandra,Arbinger,bilbo,SWE,Open,2.45,25.4,27.27,-56.41,1,2.83
517,Andreas,Lidberg,lidberg,SWE,Open,2.42,24.33,26.03,-53.77,2,2.8
518,Patrick,Bongart,soulshine,SWE,Open,2.41,25.98,28.0,-58.04,1,2.78
519,Hans,Wallstedt,dallas68,SWE,Open,2.38,25.06,26.95,-55.78,4,2.76
520,Kjell,Persson,,SWE,Open,2.38,24.53,26.32,-54.42,2,2.76
521,Dennis,Edman,netnut,SWE,Open,2.37,24.95,26.83,-55.53,2,2.74
522,Andreas,Sandberg,sandarn,SWE,Open,2.37,25.17,27.09,-56.09,3,2.74
523,Tom,Silverklo,,SWE,Open,2.36,24.61,26.43,-54.69,3,2.73
524,Dennis,Husell,,SWE,Open,2.35,24.81,26.69,-55.26,2,2.71
525,Urban,J,,SWE,Open,2.34,24.19,25.96,-53.7,2,2.7
526,Jens,Lindström Lönn,ulvhedin,SWE,Open,2.32,25.29,27.29,-56.57,1,2.69
527,Frederic,Lindahl,fredda,SWE,Open,2.32,25.79,27.88,-57.85,1,2.69
528,Anders,Holstensson,,SWE,Open,2.32,25.03,26.99,-55.95,3,2.68
529,Ulf,Lindeberg,procto,SWE,Open,2.31,24.91,26.85,-55.64,3,2.68
530,Anders,Bengtsson,abe75,SWE,Open,2.3,25.13,27.13,-56.26,1,2.66
531,Oscar,Cederqvist,,SWE,Open,2.29,25.16,27.18,-56.36,1,2.65
532,John,Bauer,johnrambo,SWE,Open,2.29,25.91,28.06,-58.28,1,2.65
533,Matilda,Sundqvist,sundqvist,SWE,Open,2.27,25.42,27.5,-57.08,1,2.63
534,Jurian,Van Der Knaap,,SWE,Open,2.27,24.63,26.57,-55.08,2,2.62
535,Börre,Böresen,,SWE,Open,2.26,24.03,25.86,-53.55,3,2.62
536,Alek,Trawicki,trawicki,SWE,Open,2.26,25.09,27.12,-56.28,1,2.62
537,Madlene,Dahlskog,maddefia,SWE,Open,2.26,24.22,26.1,-54.07,3,2.62
